SourceField,ResponseField,TargetField,DataType
ad_group_criterion.quality_info.post_click_quality_score,quality_info,quality_info.post_click_quality_score,STRING
ad_group_criterion.quality_info.quality_score,quality_info,quality_info.quality_score,INT64
ad_group_criterion.quality_info.search_predicted_ctr,quality_info,quality_info.search_predicted_ctr,STRING
ad_group_criterion.resource_name,resource_name,resource_name,STRING
ad_group_criterion.status,status,status,STRING
ad_group_criterion.system_serving_status,system_serving_status,system_serving_status,STRING
ad_group_criterion.topic.path,topic,topic.path[],STRING
ad_group_criterion.topic.topic_constant,topic,topic.topic_constant,STRING
ad_group_criterion.tracking_url_template,tracking_url_template,tracking_url_template,STRING
ad_group_criterion.type,type_,type_,STRING
ad_group_criterion.url_custom_parameters,url_custom_parameters,url_custom_parameters[].key,STRING
ad_group_criterion.url_custom_parameters,url_custom_parameters,url_custom_parameters[].value,STRING
ad_group_criterion.user_interest.user_interest_category,user_interest,user_interest.user_interest_category,STRING
ad_group_criterion.user_list.user_list,user_list,user_list.user_list,STRING
ad_group_criterion.webpage.conditions,webpage,webpage.conditions[].operand,STRING
ad_group_criterion.webpage.conditions,webpage,webpage.conditions[].operator,STRING
ad_group_criterion.webpage.conditions,webpage,webpage.conditions[].argument,STRING
ad_group_criterion.webpage.coverage_percentage,webpage,webpage.coverage_percentage,FLOAT64
ad_group_criterion.webpage.criterion_name,webpage,webpage.criterion_name,STRING
ad_group_criterion.webpage.sample.sample_urls,webpage,webpage.sample.sample_urls[],STRING
ad_group_criterion.youtube_channel.channel_id,youtube_channel,youtube_channel.channel_id,STRING
ad_group_criterion.youtube_video.video_id,youtube_video,youtube_video.video_id,STRING

