SourceField,ResponseField,TargetField,DataType
campaign.manual_cpc.enhanced_cpc_enabled,manual_cpc,manual_cpc.enhanced_cpc_enabled,BOOL
campaign.manual_cpm,manual_cpm,manual_cpm,STRING
campaign.manual_cpv,manual_cpv,manual_cpv,STRING
campaign.maximize_conversions.target_cpa_micros,maximize_conversions,maximize_conversions.target_cpa_micros,INT64
campaign.maximize_conversions.target_cpa_micros,maximize_conversions,maximize_conversions.cpc_bid_ceiling_micros,INT64
campaign.maximize_conversions.target_cpa_micros,maximize_conversions,maximize_conversions.cpc_bid_floor_micros,INT64
campaign.maximize_conversion_value.target_roas,maximize_conversion_value,maximize_conversion_value.target_roas,FLOAT64
campaign.maximize_conversion_value.target_roas,maximize_conversion_value,maximize_conversion_value.cpc_bid_ceiling_micros,INT64
campaign.maximize_conversion_value.target_roas,maximize_conversion_value,maximize_conversion_value.cpc_bid_floor_micros,INT64
campaign.target_cpa.cpc_bid_ceiling_micros,target_cpa,target_cpa.cpc_bid_ceiling_micros,INT64
campaign.target_cpa.cpc_bid_floor_micros,target_cpa,target_cpa.cpc_bid_floor_micros,INT64
campaign.target_cpa.target_cpa_micros,target_cpa,target_cpa.target_cpa_micros,INT64
campaign.target_impression_share.cpc_bid_ceiling_micros,target_impression_share,target_impression_share.cpc_bid_ceiling_micros,INT64
campaign.target_impression_share.location,target_impression_share,target_impression_share.location,STRING
campaign.target_impression_share.location_fraction_micros,target_impression_share,target_impression_share.location_fraction_micros,INT64
campaign.target_roas.cpc_bid_ceiling_micros,target_roas,target_roas.cpc_bid_ceiling_micros,INT64
campaign.target_roas.cpc_bid_floor_micros,target_roas,target_roas.cpc_bid_floor_micros,INT64
campaign.target_roas.target_roas,target_roas,target_roas.target_roas,FLOAT64
campaign.target_spend.cpc_bid_ceiling_micros,target_spend,target_spend.cpc_bid_ceiling_micros,INT64
campaign.percent_cpc.cpc_bid_ceiling_micros,percent_cpc,percent_cpc.cpc_bid_ceiling_micros,INT64
campaign.percent_cpc.enhanced_cpc_enabled,percent_cpc,percent_cpc.enhanced_cpc_enabled,BOOL
campaign.target_cpm.target_frequency_goal.target_count,target_cpm,target_cpm.target_frequency_goal.target_count,INT64
campaign.target_cpm.target_frequency_goal.time_unit,target_cpm,target_cpm.target_frequency_goal.time_unit,STRING
