SourceField,ResponseField,TargetField,DataType
metrics.phone_through_rate,metrics,metrics.phone_through_rate,FLOAT64
metrics.publisher_organic_clicks,metrics,metrics.publisher_organic_clicks,INT64
metrics.publisher_purchased_clicks,metrics,metrics.publisher_purchased_clicks,INT64
metrics.publisher_unknown_clicks,metrics,metrics.publisher_unknown_clicks,INT64
metrics.relative_ctr,metrics,metrics.relative_ctr,FLOAT64
metrics.revenue_micros,metrics,metrics.revenue_micros,INT64
metrics.search_absolute_top_impression_share,metrics,metrics.search_absolute_top_impression_share,FLOAT64
metrics.search_budget_lost_absolute_top_impression_share,metrics,metrics.search_budget_lost_absolute_top_impression_share,FLOAT64
metrics.search_budget_lost_impression_share,metrics,metrics.search_budget_lost_impression_share,FLOAT64
metrics.search_budget_lost_top_impression_share,metrics,metrics.search_budget_lost_top_impression_share,FLOAT64
metrics.search_click_share,metrics,metrics.search_click_share,FLOAT64
metrics.search_exact_match_impression_share,metrics,metrics.search_exact_match_impression_share,FLOAT64
metrics.search_impression_share,metrics,metrics.search_impression_share,FLOAT64
metrics.search_rank_lost_absolute_top_impression_share,metrics,metrics.search_rank_lost_absolute_top_impression_share,FLOAT64
metrics.search_rank_lost_impression_share,metrics,metrics.search_rank_lost_impression_share,FLOAT64
metrics.search_rank_lost_top_impression_share,metrics,metrics.search_rank_lost_top_impression_share,FLOAT64
metrics.search_top_impression_share,metrics,metrics.search_top_impression_share,FLOAT64
metrics.sk_ad_network_installs,metrics,metrics.sk_ad_network_installs,INT64
metrics.sk_ad_network_total_conversions,metrics,metrics.sk_ad_network_total_conversions,INT64
metrics.top_impression_percentage,metrics,metrics.top_impression_percentage,FLOAT64
metrics.unique_users,metrics,metrics.unique_users,INT64
metrics.units_sold,metrics,metrics.units_sold,FLOAT64
metrics.value_per_all_conversions,metrics,metrics.value_per_all_conversions,FLOAT64
metrics.value_per_all_conversions_by_conversion_date,metrics,metrics.value_per_all_conversions_by_conversion_date,FLOAT64
metrics.value_per_conversion,metrics,metrics.value_per_conversion,FLOAT64
metrics.value_per_conversions_by_conversion_date,metrics,metrics.value_per_conversions_by_conversion_date,FLOAT64
metrics.value_per_current_model_attributed_conversion,metrics,metrics.value_per_current_model_attributed_conversion,FLOAT64
metrics.video_quartile_p100_rate,metrics,metrics.video_quartile_p100_rate,FLOAT64
metrics.video_quartile_p25_rate,metrics,metrics.video_quartile_p25_rate,FLOAT64
metrics.video_quartile_p50_rate,metrics,metrics.video_quartile_p50_rate,FLOAT64
metrics.video_quartile_p75_rate,metrics,metrics.video_quartile_p75_rate,FLOAT64
metrics.video_view_rate,metrics,metrics.video_view_rate,FLOAT64
metrics.video_views,metrics,metrics.video_views,INT64
metrics.view_through_conversions,metrics,metrics.view_through_conversions,INT64
