SourceField,ResponseField,TargetField,DataType
ad_group_ad.ad.smart_campaign_ad.headlines,ad,ad.smart_campaign_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.expanded_url,STRING
ad_group_ad.ad.smart_campaign_ad.headlines,ad,ad.smart_campaign_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.last_checked_date_time,DATETIME
ad_group_ad.ad.smart_campaign_ad.headlines,ad,ad.smart_campaign_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.dns_error_type,STRING
ad_group_ad.ad.smart_campaign_ad.headlines,ad,ad.smart_campaign_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.http_error_code,INT64
ad_group_ad.ad.smart_campaign_ad.headlines,ad,ad.smart_campaign_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_text_list.destination_texts[],STRING
ad_group_ad.ad.smart_campaign_ad.headlines,ad,ad.smart_campaign_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].language_code,STRING
ad_group_ad.ad.smart_campaign_ad.headlines,ad,ad.smart_campaign_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].text_list.texts[],STRING
ad_group_ad.ad.smart_campaign_ad.headlines,ad,ad.smart_campaign_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].website_list.websites[],STRING
ad_group_ad.ad.smart_campaign_ad.headlines,ad,ad.smart_campaign_ad.headlines[].policy_summary_info.policy_topic_entries[].topic,STRING
ad_group_ad.ad.smart_campaign_ad.headlines,ad,ad.smart_campaign_ad.headlines[].policy_summary_info.review_status,STRING
ad_group_ad.ad.smart_campaign_ad.headlines,ad,ad.smart_campaign_ad.headlines[].text,STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].asset_performance_label,STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].pinned_field,STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.approval_status,STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].certificate_domain_mismatch_in_country_list.countries[].country_criterion,STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].certificate_domain_mismatch_in_country_list.total_targeted_countries,INT64
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].certificate_missing_in_country_list.countries[].country_criterion,STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].certificate_missing_in_country_list.total_targeted_countries,INT64
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].country_constraint_list.countries[].country_criterion,STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].country_constraint_list.total_targeted_countries,INT64
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].reseller_constraint,STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_mismatch.url_types[],STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.device,STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.expanded_url,STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.last_checked_date_time,DATETIME
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.dns_error_type,STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.http_error_code,INT64
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_text_list.destination_texts[],STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].language_code,STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].text_list.texts[],STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].website_list.websites[],STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].topic,STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.policy_topic_entries[].type_,STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].policy_summary_info.review_status,STRING
ad_group_ad.ad.smart_campaign_ad.descriptions,ad,ad.smart_campaign_ad.descriptions[].text,STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].pinned_field,STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].asset_performance_label,STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].type_,STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].website_list.websites[],STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].text_list.texts[],STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].language_code,STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_text_list.destination_texts[],STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_mismatch.url_types[],STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.device,STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.expanded_url,STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.last_checked_date_time,DATETIME
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.dns_error_type,STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.http_error_code,INT64
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].constraints[].country_constraint_list.countries[].country_criterion,STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].constraints[].country_constraint_list.total_targeted_countries,INT64
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].constraints[].reseller_constraint,STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].constraints[].certificate_missing_in_country_list.countries[].country_criterion,STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].constraints[].certificate_missing_in_country_list.total_targeted_countries,INT64
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].constraints[].certificate_domain_mismatch_in_country_list.countries[].country_criterion,STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].constraints[].certificate_domain_mismatch_in_country_list.total_targeted_countries,INT64
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.policy_topic_entries[].topic,STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.review_status,STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].policy_summary_info.approval_status,STRING
ad_group_ad.ad.app_pre_registration_ad.headlines,ad,ad.app_pre_registration_ad.headlines[].text,STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].pinned_field,STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].asset_performance_label,STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].type_,STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].language_code,STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].website_list.websites[],STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].text_list.texts[],STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_text_list.destination_texts[],STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_mismatch.url_types[],STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.device,STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.expanded_url,STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.last_checked_date_time,DATETIME
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.dns_error_type,STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.http_error_code,INT64
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].country_constraint_list.countries[].country_criterion,STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].country_constraint_list.total_targeted_countries,INT64
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].reseller_constraint,STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].certificate_missing_in_country_list.countries[].country_criterion,STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].certificate_missing_in_country_list.total_targeted_countries,INT64
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].certificate_domain_mismatch_in_country_list.countries[].country_criterion,STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].certificate_domain_mismatch_in_country_list.total_targeted_countries,INT64
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.policy_topic_entries[].topic,STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.review_status,STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].policy_summary_info.approval_status,STRING
ad_group_ad.ad.app_pre_registration_ad.descriptions,ad,ad.app_pre_registration_ad.descriptions[].text,STRING
ad_group_ad.ad.app_pre_registration_ad.images,ad,ad.app_pre_registration_ad.images[].asset,STRING
ad_group_ad.ad.app_pre_registration_ad.youtube_videos,ad,ad.app_pre_registration_ad.youtube_videos[].asset,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.marketing_images,ad,ad.demand_gen_multi_asset_ad.marketing_images[].asset,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.square_marketing_images,ad,ad.demand_gen_multi_asset_ad.square_marketing_images[].asset,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.portrait_marketing_images,ad,ad.demand_gen_multi_asset_ad.portrait_marketing_images[].asset,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.logo_images,ad,ad.demand_gen_multi_asset_ad.logo_images[].asset,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].pinned_field,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].asset_performance_label,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].type_,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].website_list.websites[],STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].text_list.texts[],STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].language_code,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_text_list.destination_texts[],STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_mismatch.url_types[],STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.device,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.expanded_url,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.last_checked_date_time,DATETIME
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.dns_error_type,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.http_error_code,INT64
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].constraints[].country_constraint_list.countries[].country_criterion,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].constraints[].country_constraint_list.total_targeted_countries,INT64
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].constraints[].reseller_constraint,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].constraints[].certificate_missing_in_country_list.countries[].country_criterion,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].constraints[].certificate_missing_in_country_list.total_targeted_countries,INT64
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].constraints[].certificate_domain_mismatch_in_country_list.countries[].country_criterion,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].constraints[].certificate_domain_mismatch_in_country_list.total_targeted_countries,INT64
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.policy_topic_entries[].topic,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.review_status,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].policy_summary_info.approval_status,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.headlines,ad,ad.demand_gen_multi_asset_ad.headlines[].text,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].pinned_field,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].asset_performance_label,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].type_,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].website_list.websites[],STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].text_list.texts[],STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].language_code,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_text_list.destination_texts[],STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_mismatch.url_types[],STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.device,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.expanded_url,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.last_checked_date_time,DATETIME
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.dns_error_type,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.http_error_code,INT64
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].country_constraint_list.countries[].country_criterion,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].country_constraint_list.total_targeted_countries,INT64
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].reseller_constraint,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].certificate_missing_in_country_list.countries[].country_criterion,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].certificate_missing_in_country_list.total_targeted_countries,INT64
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].certificate_domain_mismatch_in_country_list.countries[].country_criterion,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].constraints[].certificate_domain_mismatch_in_country_list.total_targeted_countries,INT64
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.policy_topic_entries[].topic,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.review_status,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].policy_summary_info.approval_status,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.descriptions,ad,ad.demand_gen_multi_asset_ad.descriptions[].text,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.business_name,ad,ad.demand_gen_multi_asset_ad.business_name,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.call_to_action_text,ad,ad.demand_gen_multi_asset_ad.call_to_action_text,STRING
ad_group_ad.ad.demand_gen_multi_asset_ad.lead_form_only,ad,ad.demand_gen_multi_asset_ad.lead_form_only,BOOL
ad_group_ad.ad.demand_gen_carousel_ad.business_name,ad,ad.demand_gen_carousel_ad.business_name,STRING
ad_group_ad.ad.demand_gen_carousel_ad.logo_image,ad,ad.demand_gen_carousel_ad.logo_image.asset,STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.pinned_field,STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.asset_performance_label,STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].type_,STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].evidences[].website_list.websites[],STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].evidences[].text_list.texts[],STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].evidences[].language_code,STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].evidences[].destination_text_list.destination_texts[],STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].evidences[].destination_mismatch.url_types[],STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.device,STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.expanded_url,STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.last_checked_date_time,DATETIME
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.dns_error_type,STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].evidences[].destination_not_working.http_error_code,INT64
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].constraints[].country_constraint_list.countries[].country_criterion,STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].constraints[].country_constraint_list.total_targeted_countries,INT64
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].constraints[].reseller_constraint,STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].constraints[].certificate_missing_in_country_list.countries[].country_criterion,STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].constraints[].certificate_missing_in_country_list.total_targeted_countries,INT64
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].constraints[].certificate_domain_mismatch_in_country_list.countries[].country_criterion,STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].constraints[].certificate_domain_mismatch_in_country_list.total_targeted_countries,INT64
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.policy_topic_entries[].topic,STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.review_status,STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.policy_summary_info.approval_status,STRING
ad_group_ad.ad.demand_gen_carousel_ad.headline,ad,ad.demand_gen_carousel_ad.headline.text,STRING
