SourceField,ResponseField,TargetField,DataType
customer_user_access.access_creation_date_time,access_creation_date_time,access_creation_date_time,DATETIME
customer_user_access.access_role,access_role,access_role,STRING
customer_user_access.email_address,email_address,email_address,STRING
customer_user_access.inviter_user_email_address,inviter_user_email_address,inviter_user_email_address,STRING
customer_user_access.resource_name,resource_name,resource_name,STRING
customer_user_access.user_id,user_id,user_id,INT64
