SourceField,ResponseField,TargetField,DataType
customer.auto_tagging_enabled,auto_tagging_enabled,auto_tagging_enabled,BOOL
customer.call_reporting_setting.call_conversion_reporting_enabled,call_reporting_setting,call_reporting_setting.call_conversion_reporting_enabled,BOOL
customer.call_reporting_setting.call_reporting_enabled,call_reporting_setting,call_reporting_setting.call_reporting_enabled,BOOL
customer.call_reporting_setting.call_conversion_action,call_reporting_setting,call_reporting_setting.call_conversion_action,STRING
customer.conversion_tracking_setting.accepted_customer_data_terms,conversion_tracking_setting,conversion_tracking_setting.accepted_customer_data_terms,BOOL
customer.conversion_tracking_setting.conversion_tracking_id,conversion_tracking_setting,conversion_tracking_setting.conversion_tracking_id,INT64
customer.conversion_tracking_setting.conversion_tracking_status,conversion_tracking_setting,conversion_tracking_setting.conversion_tracking_status,STRING
customer.conversion_tracking_setting.cross_account_conversion_tracking_id,conversion_tracking_setting,conversion_tracking_setting.cross_account_conversion_tracking_id,INT64
customer.conversion_tracking_setting.enhanced_conversions_for_leads_enabled,conversion_tracking_setting,conversion_tracking_setting.enhanced_conversions_for_leads_enabled,BOOL
customer.conversion_tracking_setting.google_ads_conversion_customer,conversion_tracking_setting,conversion_tracking_setting.google_ads_conversion_customer,STRING
customer.currency_code,currency_code,currency_code,STRING
customer.descriptive_name,descriptive_name,descriptive_name,STRING
customer.final_url_suffix,final_url_suffix,final_url_suffix,STRING
customer.has_partners_badge,has_partners_badge,has_partners_badge,BOOL
customer.id,id,id,INT64
customer.image_asset_auto_migration_done,image_asset_auto_migration_done,image_asset_auto_migration_done,BOOL
customer.image_asset_auto_migration_done_date_time,image_asset_auto_migration_done_date_time,image_asset_auto_migration_done_date_time,DATETIME
customer.location_asset_auto_migration_done,location_asset_auto_migration_done,location_asset_auto_migration_done,BOOL
customer.location_asset_auto_migration_done_date_time,location_asset_auto_migration_done_date_time,location_asset_auto_migration_done_date_time,DATETIME
customer.manager,manager,manager,BOOL
customer.optimization_score,optimization_score,optimization_score,FLOAT64
customer.optimization_score_weight,optimization_score_weight,optimization_score_weight,FLOAT64
customer.pay_per_conversion_eligibility_failure_reasons,pay_per_conversion_eligibility_failure_reasons,pay_per_conversion_eligibility_failure_reasons[],STRING
customer.remarketing_setting.google_global_site_tag,remarketing_setting,remarketing_setting.google_global_site_tag,STRING
customer.resource_name,resource_name,resource_name,STRING
customer.status,status,status,STRING
customer.test_account,test_account,test_account,BOOL
customer.time_zone,time_zone,time_zone,STRING
customer.tracking_url_template,tracking_url_template,tracking_url_template,STRING
